인증제품명,자원발자국-총량(kgSbe/L),탄소발자국-총량(m3H2Oe/L),물발자국-총량(m3H2Oe/L)
EVERYDAY 산수,0.007393939,0.248484848,0.005
i'm eco 산수,0.140045455,0.161674242,0.061087121
강원 평창수,0.0038975,0.1394,0.0030675
몽베스트,0.005026894,0.155562121,0.003428485
미네랄 워터,0.005117273,0.199122222,0.002907273
산수,9.79E-05,0.017460317,0.001169312
석수,0.003928717,0.183821496,0.021227234
스파클 먹는샘물,0.003149933,0.118604549,0.002926736
아이시스8.0,0.0037525,0.11665,0.004525
아이시스8.0ECO,0.00372,0.103333333,0.0038
아이시스ECO,0.00704,0.2011,0.00566
유어스 지리산 맑은 샘물,0.004035,0.16675,0.0035125
제주 삼다수,0.006676553,0.220159091,0.003576023
풀무원샘물,0.00338,0.117,0.0028925
피코크 트루워터,0.004853788,0.142787879,0.003309091
휘오 순수,0.00392,0.1416,0.0036975
