인증제품명,자원발자국-총량(kgSbe/개),탄소발자국-총량(m3H2Oe/개),물발자국-총량(m3H2Oe/개),자원발자국-총량(kgSbe/L),탄소발자국-총량(m3H2Oe/L),물발자국-총량(m3H2Oe/L)
EVERYDAY 산수 [0.33L],0.00244,0.082,0.00165,0.007393939,0.248484848,0.005
i'm eco 산수 [0.33L],0.0654,0.0758,0.028,0.198181818,0.22969697,0.084848485
i'm eco 산수 [0.5L],0.0924,0.104,0.0396,0.1848,0.208,0.0792
i'm eco 산수 [1.0L],0.0937,0.114,0.0425,0.0937,0.114,0.0425
i'm eco 산수 [2.0L],0.167,0.19,0.0756,0.0835,0.095,0.0378
"강원 평창수 [0.5L, PET]",0.00231,0.0834,0.00176,0.00462,0.1668,0.00352
"강원 평창수 [2.0L, PET]",0.00635,0.224,0.00523,0.003175,0.112,0.002615
몽베스트[0.33L],0.00223,0.0676,0.00145,0.006757576,0.204848485,0.004393939
몽베스트[0.5L],0.00228,0.0757,0.00133,0.00456,0.1514,0.00266
몽베스트[1L],0.00579,0.166,0.0039,0.00579,0.166,0.0039
몽베스트[2L],0.006,0.2,0.00552,0.003,0.1,0.00276
미네랄 워터[0.33L],0.00237,0.0847,0.000885,0.007181818,0.256666667,0.002681818
미네랄 워터[0.5L],0.00245,0.0966,0.00112,0.0049,0.1932,0.00224
미네랄 워터[2.0L],0.00654,0.295,0.0076,0.00327,0.1475,0.0038
산수[18.9L],0.00185,0.33,0.0221,9.79E-05,0.017460317,0.001169312
석수[0.35L],0.00271,0.113,0.0185,0.007742857,0.322857143,0.052857143
석수[0.5L],0.00301,0.144,0.0207,0.00602,0.288,0.0414
석수[1.0L],0.00578,0.244,0.0203,0.00578,0.244,0.0203
석수[2L],0.00681,0.295,0.024,0.003405,0.1475,0.012
석수[13L],0.00494,0.795,0.00632,0.00038,0.061153846,0.000486154
석수[18.9L],0.00462,0.745,0.00605,0.000244444,0.039417989,0.000320106
스파클 먹는샘물 [0.33L],0.00222,0.078,0.00162,0.006727273,0.236363636,0.004909091
스파클 먹는샘물 [0.5L],0.00222,0.075,0.00169,0.00444,0.15,0.00338
스파클 먹는샘물 [0.5L] 무라벨,0.00222,0.075,0.00169,0.00444,0.15,0.00338
스파클 먹는샘물 [2.0L],0.00595,0.198,0.00625,0.002975,0.099,0.003125
스파클 먹는샘물 [2.0L] 무라벨,0.00595,0.198,0.00625,0.002975,0.099,0.003125
스파클 먹는샘물 [15.4L],0.00424,0.818,0.0204,0.000275325,0.053116883,0.001324675
스파클 먹는샘물 [18.9L],0.0041,0.808,0.0235,0.000216931,0.042751323,0.001243386
"아이시스8.0[0.5L,PET]",0.00228,0.0694,0.00261,0.00456,0.1388,0.00522
"아이시스8.0[2L,PET]",0.00589,0.189,0.00766,0.002945,0.0945,0.00383
"아이시스8.0ECO[1.5L,PET]",0.00558,0.155,0.0057,0.00372,0.103333333,0.0038
"아이시스ECO[0.5L,PET]",0.0021,0.0598,0.00113,0.0042,0.1196,0.00226
"아이시스ECO[2L,PET]",0.00568,0.163,0.0068,0.00284,0.0815,0.0034
유어스 지리산 맑은 샘물[0.5L],0.00245,0.099,0.00183,0.0049,0.198,0.00366
유어스 지리산 맑은 샘물[2.0L],0.00634,0.271,0.00673,0.00317,0.1355,0.003365
제주 삼다수 [0.33L],0.00266,0.0864,0.00114,0.008060606,0.261818182,0.003454545
제주 삼다수 [0.5L],0.0031,0.101,0.00175,0.0062,0.202,0.0035
제주 삼다수 [2.0L],0.00877,0.31,0.00779,0.004385,0.155,0.003895
제주삼다수 그린 [0.33L],0.00266,0.0864,0.00114,0.008060606,0.261818182,0.003454545
풀무원샘물 [0.5L],0.00188,0.066,0.00089,0.00376,0.132,0.00178
풀무원샘물 [2L],0.006,0.204,0.00801,0.003,0.102,0.004005
피코크 트루워터 0.33L (무라벨),0.00223,0.0652,0.00126,0.006757576,0.197575758,0.003818182
피코크 트루워터 2L (무라벨),0.0059,0.176,0.0056,0.00295,0.088,0.0028
"휘오 순수 [0.5L, PET]",0.00232,0.0826,0.00218,0.00464,0.1652,0.00436
"휘오 순수[2.0L, PET]",0.0064,0.236,0.00607,0.0032,0.118,0.003035
